date,cumulative_confirmed,population,country_name,subregion1_name,subregion2_name,aggregation_level
2021-08-03,49879,4244096,Indonesia,South Kalimantan,,1
2021-08-03,27720,3379302,Indonesia,Papua,,1
2021-08-03,,215285,Indonesia,Aceh,Aceh Selatan,2
2021-08-03,,235305,Indonesia,Aceh,Banda Aceh,2
2021-08-03,,178334,Indonesia,Aceh,Langsa,2
2021-08-03,,5715009,Indonesia,West Java,Bogor,2
2021-08-03,,2394873,Indonesia,West Java,Bandung,2
2021-08-03,,678027,Indonesia,West Java,Tasikmalaya,2
2021-08-03,,780000,Indonesia,East Java,Malang,2
2021-08-03,,626995,Indonesia,West Kalimantan,Sambas,2
2021-08-03,,226289,Indonesia,West Kalimantan,Melawi,2
2021-08-03,,237002,Indonesia,Riau Islands,Karimun,2
2021-08-03,,216466,Indonesia,South Kalimantan,Hulu Sungai Utara,2
2021-08-03,,249434,Indonesia,Central Kalimantan,Palangkaraya,2
2021-08-03,,103171,Indonesia,North Maluku,Tidore,2
2021-08-03,,395009,Indonesia,East Nusa Tenggara,Kupang Regency,2
2021-08-03,,205302,Indonesia,Papua,Puncak Jaya,2
2021-08-03,,303376,Indonesia,Papua,Mimika,2
2021-08-03,,33272,Indonesia,Papua,Mamberamo Raya,2
2021-08-03,,,Indonesia,West Papua,Sorong,2
2021-08-03,,61582,Indonesia,West Papua,Raja Ampat,2
2021-08-03,,39879,Indonesia,West Papua,Teluk Wondama,2
2021-08-03,,264084,Indonesia,Riau,Dumai,2
2021-08-03,,,Indonesia,North Sulawesi,Bolaang Mongondow,2
2021-08-03,,518695,Indonesia,West Sumatra,Agam,2
2021-08-03,,253299,Indonesia,West Sumatra,Pasaman,2
2021-08-03,,201328,Indonesia,West Sumatra,Dharmasraya,2
2021-08-03,,61427,Indonesia,West Sumatra,Sawahlunto,2
2021-08-03,,281020,Indonesia,South Sulawesi,Takalar,2
2021-08-03,,,Indonesia,South Sulawesi,Bone,2
2021-08-03,,290727,Indonesia,South Sulawesi,Luwu Timur,2
2021-08-03,,143590,Indonesia,West Sulawesi,Mamuju Tengah,2
